QMW84588.1	iML1515.b1856	39.7	121	72	1	62	181	288	408	2.12e-19	84.3
QMW84588.1	iAF987.Gmet_3012	41.3	104	60	1	69	171	31	134	8.37e-18	77.0
QMW84602.1	iCN900.CD630_07170	44.9	49	27	0	13	61	8	56	2.19e-05	44.3
QMW84608.1	iYO844.BSU03860	34.6	185	117	3	1	182	4	187	1.16e-27	105
QMW84608.1	iYO844.BSU38110	32.1	184	123	1	2	183	5	188	3.34e-26	102
QMW84609.1	iCN900.CD630_12610	31.4	640	349	12	22	652	100	658	1.36e-84	285
QMW84610.1	iSynCJ816.SGL_RS03010	27.1	384	238	13	236	602	7	365	3.07e-33	134
QMW84610.1	iAF987.Gmet_2391	29.5	342	204	11	252	575	21	343	9.31e-32	130
QMW84612.1	iAF692.Mbar_A3140	25.0	360	228	13	1	321	7	363	6.95e-14	71.6
QMW84613.1	iYS854.USA300HOU_RS02640	39.3	112	67	1	8	118	5	116	5.42e-25	91.3
QMW84614.1	iLJ478.TM1185	48.1	160	75	2	6	165	15	166	3.27e-39	130
QMW84614.1	iPC815.YPO1441	47.9	142	61	2	6	141	11	145	9.66e-36	121
QMW84615.1	iEK1008.Rv3265c	25.6	219	148	3	16	220	12	229	5.52e-16	77.0
QMW84618.1	iAF987.Gmet_1469	28.3	561	323	11	54	549	54	600	5.96e-54	192
QMW84622.1	iAF692.Mbar_A1138	22.6	159	117	3	41	197	2	156	6.57e-08	53.9
QMW84622.1	iAF987.Gmet_2352	29.6	125	81	3	38	160	2	121	6.46e-07	50.8
QMW84623.1	STM_v1_0.STM4433	23.5	285	198	6	10	283	3	278	6.39e-15	74.7
QMW84629.1	iAF987.Gmet_2999	31.4	153	103	1	1	151	4	156	1.69e-16	77.0
QMW84629.1	iAF987.Gmet_1706	36.4	121	73	2	5	123	1	119	4.58e-16	75.5
QMW84630.1	iAF987.Gmet_0043	25.9	232	165	5	283	510	38	266	5.27e-16	80.5
QMW84631.1	iSynCJ816.SGL_RS10930	33.6	706	432	7	9	708	10	684	2.02e-123	383
QMW84631.1	iEK1008.Rv0684	32.2	712	446	6	7	708	11	695	1.86e-119	373
QMW84631.1	iSynCJ816.SGL_RS17200	31.8	718	444	7	10	715	9	692	1.52e-115	363
QMW84632.1	iHN637.CLJU_RS03910	33.0	376	239	7	3	373	13	380	2.10e-69	222
QMW84632.1	iAF987.Gmet_3535	37.2	382	225	7	3	373	6	383	3.35e-68	219
QMW84632.1	iYO844.BSU25500	32.5	378	248	6	1	373	1	376	8.66e-64	207
QMW84632.1	iEK1008.Rv2388c	31.9	376	243	3	3	373	7	374	7.79e-64	207
QMW84632.1	iCN900.CD630_24640	31.0	390	252	3	1	373	1	390	2.35e-63	207
QMW84632.1	iNF517.LLMG_RS07160	30.5	370	251	3	5	373	9	373	9.47e-63	205
QMW84635.1	iSDY_1059.SDY_1022	28.2	156	89	6	199	336	32	182	9.86e-05	45.8
QMW84635.1	iML1515.b0584	28.5	172	94	7	187	333	11	178	3.89e-04	43.9
QMW84637.1	iML1515.b3201	29.0	217	126	6	9	205	8	216	4.03e-21	87.8
QMW84637.1	iSbBS512_1146.SbBS512_E3569	29.0	217	126	6	9	205	8	216	4.03e-21	87.8
QMW84637.1	iSDY_1059.SDY_3382	29.0	217	126	6	9	205	8	216	4.03e-21	87.8
QMW84637.1	iSF_1195.SF3241	29.0	217	126	6	9	205	8	216	4.03e-21	87.8
QMW84637.1	iSSON_1240.SSON_3349	29.0	217	126	6	9	205	8	216	4.03e-21	87.8
QMW84637.1	iAF987.Gmet_1282	28.6	217	144	4	4	209	9	225	1.66e-20	86.3
QMW84637.1	iJN1463.PP_0953	28.5	239	146	7	5	225	4	235	4.11e-20	85.1
QMW84640.1	iML1515.b0874	36.5	167	103	3	30	196	133	296	9.83e-27	103
QMW84643.1	iCHOv1.100764540	24.9	201	134	6	5	192	6	202	1.72e-05	44.3
QMW84648.1	iPC815.YPO1390	33.9	419	236	9	10	397	11	419	1.81e-69	225
QMW84648.1	iSF_1195.SF0903	36.1	416	231	7	12	399	12	420	3.49e-69	224
QMW84648.1	iML1515.b0908	36.1	416	231	7	12	399	12	420	4.91e-69	224
QMW84648.1	iSbBS512_1146.SbBS512_E2420	36.1	416	231	7	12	399	12	420	4.91e-69	224
QMW84648.1	iSSON_1240.SSON_0909	36.1	416	231	7	12	399	12	420	4.91e-69	224
QMW84648.1	iSDY_1059.SDY_2353	35.8	416	232	7	12	399	12	420	2.50e-68	222
QMW84648.1	iYL1228.KPN_00936	34.8	419	232	8	12	399	12	420	5.80e-67	218
QMW84648.1	STM_v1_0.STM0978	34.6	416	237	7	12	399	12	420	3.44e-65	214
QMW84650.1	iEK1008.Rv1928c	26.9	193	131	5	2	186	12	202	2.47e-12	64.3
QMW84650.1	iNF517.LLMG_RS08950	28.4	190	128	4	2	186	6	192	2.98e-12	63.9
QMW84650.1	iSynCJ816.SGL_RS12965	23.4	244	174	5	2	234	6	247	3.52e-12	63.9
QMW84650.1	iSDY_1059.SDY_2057	28.4	190	126	4	2	186	6	190	4.13e-12	63.5
QMW84650.1	iML1515.b1093	28.4	190	126	4	2	186	6	190	1.99e-11	61.6
QMW84650.1	iAF987.Gmet_1694	26.7	191	129	6	4	187	8	194	2.01e-11	61.6
QMW84650.1	iSbBS512_1146.SbBS512_E2231	28.4	190	126	4	2	186	6	190	1.99e-11	61.6
QMW84650.1	iSF_1195.SF1097	28.4	190	126	4	2	186	6	190	1.99e-11	61.6
QMW84650.1	iSSON_1240.SSON_1113	28.4	190	126	4	2	186	6	190	1.99e-11	61.6
QMW84650.1	iSDY_1059.SDY_1586	26.1	180	128	3	4	180	3	180	9.81e-11	59.7
QMW84650.1	iSF_1195.SF1556	25.6	180	129	3	4	180	3	180	2.49e-10	58.5
QMW84650.1	iML1515.b1539	26.1	180	128	3	4	180	3	180	3.39e-10	58.2
QMW84650.1	iSSON_1240.SSON_1589	26.1	180	128	3	4	180	3	180	3.39e-10	58.2
QMW84652.1	iLJ478.TM0306	24.6	232	148	8	38	251	66	288	1.18e-11	66.2
QMW84664.1	iAF692.Mbar_A0996	46.9	260	138	0	2	261	3	262	5.62e-77	234
QMW84687.1	iIT341.HP0824	46.1	102	54	1	3	104	5	105	3.34e-33	110
QMW84687.1	iPC815.YPO3868	52.9	87	41	0	7	93	11	97	2.04e-32	108
QMW84687.1	iML1515.b3781	46.7	92	48	1	3	93	6	97	1.21e-31	107
QMW84687.1	STM_v1_0.STM3915	46.7	92	48	1	3	93	6	97	1.21e-31	107
QMW84687.1	iSbBS512_1146.SbBS512_E4140	46.7	92	48	1	3	93	6	97	1.21e-31	107
QMW84687.1	iSDY_1059.SDY_3968	46.7	92	48	1	3	93	24	115	2.02e-31	107
QMW84687.1	iSF_1195.SF3854	46.7	92	48	1	3	93	24	115	2.02e-31	107
QMW84687.1	iSSON_1240.SSON_3952	46.7	92	48	1	3	93	24	115	2.02e-31	107
QMW84687.1	iYL1228.KPN_04282	46.7	92	48	1	3	93	6	97	4.90e-31	105
QMW84687.1	iYS854.USA300HOU_RS05725	50.6	87	42	1	3	89	4	89	6.97e-30	102
QMW84687.1	iJN1463.PP_5215	41.1	90	52	1	5	93	9	98	1.62e-29	101
QMW84689.1	iAF987.Gmet_1263	40.4	188	109	3	41	227	32	217	5.78e-38	131
QMW84689.1	iEK1008.Rv0437c	43.6	172	93	3	60	228	61	231	2.78e-35	124
QMW84690.1	iYO844.BSU02270	36.2	174	94	4	7	180	2	158	5.14e-21	86.3
QMW84690.1	iAF987.Gmet_1264	32.8	204	124	4	9	210	19	211	2.61e-20	86.3
QMW84690.1	iIT341.HP1071	29.0	238	145	6	10	235	10	235	1.80e-19	83.6
QMW84690.1	iHN637.CLJU_RS01425	33.9	177	99	5	6	179	3	164	6.41e-20	83.2
QMW84692.1	iCN900.CD630_00150	43.0	149	80	2	4	147	1	149	6.07e-37	123
QMW84692.1	iYO844.BSU00180	47.0	151	74	2	2	147	1	150	9.26e-36	120
QMW84692.1	iAF987.Gmet_3524	45.6	147	75	1	5	146	11	157	6.98e-35	119
QMW84692.1	iNF517.LLMG_RS09230	45.5	145	74	1	8	147	10	154	3.30e-32	111
QMW84698.1	iML1515.b1985	24.4	340	235	9	11	335	40	372	6.30e-07	51.2
QMW84699.1	iAF987.Gmet_1252	59.3	231	94	0	4	234	6	236	3.24e-94	275
QMW84707.1	iPC815.YPO0365	33.4	314	190	6	2	307	40	342	3.89e-54	179
QMW84707.1	iYL1228.KPN_04558	33.0	306	186	5	2	299	41	335	3.85e-51	172
QMW84707.1	STM_v1_0.STM4349	32.1	312	196	5	2	307	49	350	6.12e-51	171
QMW84707.1	iML1515.b4161	32.4	312	195	5	2	307	41	342	2.76e-50	169
QMW84707.1	iSbBS512_1146.SbBS512_E4693	32.1	312	196	5	2	307	41	342	3.89e-50	169
QMW84707.1	iSSON_1240.SSON_4346	32.1	312	196	5	2	307	28	329	2.82e-50	169
QMW84707.1	iSF_1195.SF4320	32.1	312	196	5	2	307	52	353	1.00e-49	168
QMW84707.1	iSDY_1059.SDY_4431	31.7	312	197	5	2	307	28	329	7.83e-50	168
QMW84707.1	iJN1463.PP_4903	31.8	308	195	4	3	306	47	343	1.38e-48	165
QMW84708.1	iJN1463.PP_3425	26.7	333	207	11	54	355	41	367	2.84e-18	85.1
